Status Checking,Credit History,Purpose,Savings Account,Employement since,Installmentrate %,Other debtors,PresentResidence,Property,Age in years,Otherinstallment Plans,Housing,Number existing Credits,Job,Number people liable,Telephone,Foreign Worker,Target,Credit Amount per Month,Sex,Status
no checking account,existing credits paind back duly till now,radio/television,unknown / no savings account,less than 1 year,4,None,2,real estate,21,None,rent,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,62.55555555555556,female , divorced/separated/married
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,unemployed,4,None,4,if not real estate : building society savings agreement/life insurance,40,stores,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,409.6666666666667,male , single
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),business,500 less than or equal and 1000 DM,1 less than or equal and less than 4 years,2,None,4,"if not others options : car or other, not in savings accounts/bonds",27,bank,own,1,skilled employee /official,1,None,yes,0,155.06666666666666,male , single
no checking account,existing credits paind back duly till now,business,less than 100DM,4 less than and equal and less than 7 years,3,None,2,"if not others options : car or other, not in savings accounts/bonds",27,None,own,2,skilled employee /official,1,None,yes,0,161.0,female , divorced/separated/married
no checking account,existing credits paind back duly till now,car (new),less than 100DM,1 less than or equal and less than 4 years,2,None,2,if not real estate : building society savings agreement/life insurance,30,None,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,101.11111111111111,male , married/windowed
0 less than or equal and less than 200 DM,existing credits paind back duly till now,furniture/equipment,bigger than or equal 1000 DM,less than 1 year,1,None,4,real estate,19,None,rent,1,unskilled-resident,1,None,yes,0,81.91666666666667,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,4 less than and equal and less than 7 years,2,None,4,unknown/no property,39,bank,for free,1,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,0,90.25,male , single
less than 0 DM,critical account / other credits existing (not at this bank),radio/television,less than 100DM,4 less than and equal and less than 7 years,1,None,4,"if not others options : car or other, not in savings accounts/bonds",31,None,own,1,skilled employee /official,1,None,yes,0,326.1666666666667,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,unemployed,2,None,3,"if not others options : car or other, not in savings accounts/bonds",31,None,own,1,management/self-employed/highly qualified employee/officer,1,None,yes,0,267.3333333333333,male , single
0 less than or equal and less than 200 DM,delay in paying off in the past,education,100 less than or equal and < 500DM,4 less than and equal and less than 7 years,2,None,3,unknown/no property,32,None,rent,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,301.53846153846155,male , single
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,unemployed,3,None,4,unknown/no property,55,None,for free,1,management/self-employed/highly qualified employee/officer,1,None,yes,0,214.83333333333334,female , divorced/separated/married
less than 0 DM,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,3,None,2,if not real estate : building society savings agreement/life insurance,46,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,65.22222222222223,male , married/windowed
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),less than 100DM,bigger than or equal 7 years,1,None,1,real estate,46,None,rent,2,skilled employee /official,1,None,yes,1,101.91666666666667,male , divorced/separated
no checking account,critical account / other credits existing (not at this bank),radio/television,bigger than or equal 1000 DM,1 less than or equal and less than 4 years,4,None,1,real estate,43,None,own,2,unskilled-resident,1,None,yes,0,63.166666666666664,female , divorced/separated/married
no checking account,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,3,None,4,real estate,39,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,81.83333333333333,male , married/windowed
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),business,unknown / no savings account,1 less than or equal and less than 4 years,4,None,4,real estate,28,bank,own,2,skilled employee /official,1,None,yes,0,104.83333333333333,male , married/windowed
no checking account,delay in paying off in the past,business,less than 100DM,less than 1 year,2,None,2,"if not others options : car or other, not in savings accounts/bonds",27,bank,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,1,360.3333333333333,male , single
no checking account,delay in paying off in the past,car (new),less than 100DM,1 less than or equal and less than 4 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",27,None,own,2,unskilled-resident,1,None,yes,0,57.285714285714285,male , single
0 less than or equal and less than 200 DM,delay in paying off in the past,car (new),unknown / no savings account,bigger than or equal 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",43,None,own,1,skilled employee /official,2,None,yes,0,161.05555555555554,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,1,None,1,if not real estate : building society savings agreement/life insurance,22,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,1,84.95833333333333,male , married/windowed
no checking account,critical account / other credits existing (not at this bank),car (used),unknown / no savings account,4 less than and equal and less than 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",43,None,own,2,skilled employee /official,2,"yes, registered under the customers name",yes,0,91.54166666666667,male , single
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,4,None,2,real estate,27,None,own,1,skilled employee /official,1,None,no,0,70.2,male , married/windowed
no checking account,existing credits paind back duly till now,radio/television,500 less than or equal and 1000 DM,bigger than or equal 7 years,3,None,2,"if not others options : car or other, not in savings accounts/bonds",26,None,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,134.79166666666666,male , divorced/separated
bigger than 200DM / salary assignments for at least 1 year,critical account / other credits existing (not at this bank),car (new),500 less than or equal and 1000 DM,4 less than and equal and less than 7 years,4,None,2,real estate,28,None,own,3,skilled employee /official,1,"yes, registered under the customers name",yes,1,78.25,male , married/windowed
